0,7,Double,$500.00,SIGNING IMAGE,2101-10-07 04:47:54,2101-11-07 04:47:54,2101-11-08 04:47:54
1,5,Triple,$750.00,SIGNING IMAGE,2101-08-07 13:56:14,2101-09-07 13:56:14,2101-09-08 13:56:14
2,14,Room,$250.00,SIGNING IMAGE,2101-05-18 11:57:54,2101-06-18 11:57:54,2101-06-19 11:57:54
3,0,Double,$500.00,SIGNING IMAGE,2101-05-06 04:26:50,2101-06-06 04:26:50,2101-06-07 04:26:50
4,1,Double,$500.00,SIGNING IMAGE,2100-11-15 00:58:57,2100-12-15 00:58:57,2100-12-16 00:58:57
5,4,House,"$1,100.00",SIGNING IMAGE,2101-04-09 16:57:54,2101-05-09 16:57:54,2101-05-10 16:57:54
6,6,Triple,$750.00,SIGNING IMAGE,2102-01-20 08:20:50,2102-02-20 08:20:50,2102-02-21 08:20:50
7,14,House,"$1,100.00",SIGNING IMAGE,2100-11-01 19:57:49,2100-12-01 19:57:49,2100-12-02 19:57:49
8,5,Room,$250.00,SIGNING IMAGE,2101-01-28 11:11:49,2101-02-28 11:11:49,2101-03-01 11:11:49
9,8,House,"$1,100.00",SIGNING IMAGE,2100-04-08 01:33:57,2100-05-08 01:33:57,2100-05-09 01:33:57
10,3,Double,$500.00,SIGNING IMAGE,2100-04-15 01:48:27,2100-05-15 01:48:27,2100-05-16 01:48:27
11,10,Room,$250.00,SIGNING IMAGE,2101-01-24 05:36:04,2101-02-24 05:36:04,2101-02-25 05:36:04
12,6,House,"$1,100.00",SIGNING IMAGE,2101-06-11 14:18:49,2101-07-11 14:18:49,2101-07-12 14:18:49
13,13,Triple,$750.00,SIGNING IMAGE,2100-04-09 13:24:22,2100-05-09 13:24:22,2100-05-10 13:24:22
14,3,Triple,$750.00,SIGNING IMAGE,2100-10-08 10:11:03,2100-11-08 10:11:03,2100-11-09 10:11:03
15,13,Triple,$750.00,SIGNING IMAGE,2101-10-03 12:02:08,2101-11-03 12:02:08,2101-11-04 12:02:08
16,14,Room,$250.00,SIGNING IMAGE,2101-09-04 09:21:24,2101-10-04 09:21:24,2101-10-05 09:21:24
17,0,Double,$500.00,SIGNING IMAGE,2100-03-12 17:43:09,2100-04-12 17:43:09,2100-04-13 17:43:09
18,5,House,"$1,100.00",SIGNING IMAGE,2100-12-06 18:28:34,2101-01-06 18:28:34,2101-01-07 18:28:34
19,7,Triple,$750.00,SIGNING IMAGE,2101-10-20 23:07:14,2101-11-20 23:07:14,2101-11-21 23:07:14
20,10,House,"$1,100.00",SIGNING IMAGE,2100-05-10 19:59:16,2100-06-10 19:59:16,2100-06-11 19:59:16
21,14,House,"$1,100.00",SIGNING IMAGE,2100-07-10 20:23:51,2100-08-10 20:23:51,2100-08-11 20:23:51
22,3,Room,$250.00,SIGNING IMAGE,2101-03-10 18:44:23,2101-04-10 18:44:23,2101-04-11 18:44:23
23,9,Double,$500.00,SIGNING IMAGE,2101-02-10 16:30:49,2101-03-10 16:30:49,2101-03-11 16:30:49
